Addrcity,Addrfull,Amenity,Building,Capacitype,Name,Operatorty,Osm Id,School Level,Source,Geometry
Mayembe-lower,,school,,,Mpigi Modern Senior Secondary School,,4055560844,Secondary,www.ubos.org,Point
Mayembe-upper,,school,,,Lecture Hall,,4055560835,Other,www.ubos.org,Point
Mayembe-upper,,school,,,Nsamizi Administration,,4055560847,Other,www.ubos.org,Point
Mayembe-upper,,school,,,Saint Kizito Primary School,,4055560859,Primary,www.ubos.org,Point
Mayengo/Katuna,,school,,,Mayengo Primary School,,3964738130,Primary,www.ubos.org,Point
Mayigwe,,school,,,Zitwe Primary School,,4027565984,Primary,www.ubos.org,Point
Mayikalo,,school,,,Mayikalo Primary School,,4030949563,Primary,www.ubos.org,Point
Mayira,,school,,,Muyira Primary School,,4034059062,Primary,www.ubos.org,Point
Mayirikiti,,school,,,Bright Future Primary School,,4013868133,Primary,www.ubos.org,Point
Mayirikiti,,school,,,Mayirikit Parents School,,3968727701,Other,www.ubos.org,Point
Mayirikiti,,school,,,Mayirikiti,,3968727700,Other,www.ubos.org,Point
Mayirikiti,,school,,,Mayirikiti Primary School,,4035744526,Primary,www.ubos.org,Point
Mayirikiti,,school,,,Progressive College,,4013871333,Other,www.ubos.org,Point
Mayirinya A,,school,,,Mayirinya Muslim Primary School,,4029554795,Primary,www.ubos.org,Point
Mayirinya B,,school,,,Mayirinya Primary School,,4029554796,Primary,www.ubos.org,Point
Mayirinya B,,school,,,Rock Mary Nursery And Primary School,,4029554828,Primary,www.ubos.org,Point
Mayombe,,school,,,Mayombe Primary School,,4032651064,Primary,www.ubos.org,Point
Mayuge,,school,,,Bugumya Primary School,,4029554741,Primary,www.ubos.org,Point
Mayuge,,school,,,Buyugu Primary School,,4029554755,Primary,www.ubos.org,Point
Mayuge,,school,,,Kabayingire Primary School,,4048902033,Primary,www.ubos.org,Point
Mayuge,,school,,,Saint Catherine High School Mayuge,,4029554831,Secondary,www.ubos.org,Point
Mayuge,,school,,,Saint Cyprian Matovu Primary School,,4029554832,Primary,www.ubos.org,Point
Mayuge,,school,,,Shine Rise Junior Nursery and Primary School,,4029554837,Primary,www.ubos.org,Point
Mayungwe,,school,,,Mayungwe Primary School,,4032723467,Primary,www.ubos.org,Point
Mayungwe,,school,,,Saint Peter's Senior Secondary Mayungwe,,4032724220,Secondary,www.ubos.org,Point
Maziba,,school,,,Maziba Primary School,,4035743530,Primary,www.ubos.org,Point
Maziba,,school,,,Nursery School,,4016963200,Kindergarten,www.ubos.org,Point
Mazimasa Central,,school,,,Mazimasa Primary School,,4080583693,Primary,www.ubos.org,Point
Mazinga,,school,,,Mazinga Modern Primary School,,4035698132,Primary,www.ubos.org,Point
Mazinga,,school,,,Mazinga Primary School,,4038399492,Primary,www.ubos.org,Point
Maziriga,,school,,,Primary School,,4030508189,Primary,www.ubos.org,Point
Mazooba,,school,,,Mazooba Primary School,,4029643441,Primary,www.ubos.org,Point
Mazuba,,school,,,Mazuba Primary School,,4032559847,Primary,www.ubos.org,Point
Mazzi,,school,,,Mazzi Vocational Secondary School,,4027328836,Secondary,www.ubos.org,Point
Mbaale A,,school,,,Saint Martin Mbaale Primary School,,4033876270,Primary,www.ubos.org,Point
Mbaari,,school,,,Saint Mary's Primary School Lwampanga,,4028095437,Primary,www.ubos.org,Point
Mbaba,,school,,,Mbaba Primary School,,4031108285,Primary,www.ubos.org,Point
Mbaba,,school,,,Stanthony Primary School,,4031109013,Primary,www.ubos.org,Point
Mbalala,,school,,,Saint Padre Pio Primary School,,4029727902,Primary,www.ubos.org,Point
Mbale,,school,,,Future Glory Nursery And Primary School,,4029554761,Primary,www.ubos.org,Point
Mbale,,school,,,Luku Primary,,3999015679,Primary,www.ubos.org,Point
Mbale,,school,,,Nursery School,,4055560850,Kindergarten,www.ubos.org,Point
Mbale B,,school,,,Bright Angle Primary School,,4033950914,Primary,www.ubos.org,Point
Mbale North,,school,,,Obongi Secondary School,,4009299370,Secondary,www.ubos.org,Point
